LinkId,Geometry
119302,"LINESTRING(357121.16009 6688788.37864,357126.76033 6688781.87073,357129.38238 6688777.89269,357133.02405 6688770.28459,357148.23479 6688737.60112,357164.69822 6688703.88889,357167.10686 6688698.96629,357174.38495 6688684.05086,357209.61457 6688612.08843,357225.27896 6688580.29150,357228.15744 6688574.30722,357231.51011 6688567.33886,357233.76535 6688562.64763,357237.40922 6688555.07286,357240.96505 6688547.68118)"
119303,"LINESTRING(357240.96505 6688547.68118,357237.40922 6688555.07286,357233.76535 6688562.64763,357231.51011 6688567.33886,357228.15744 6688574.30722,357225.27896 6688580.29150,357209.61457 6688612.08843,357174.38495 6688684.05086,357167.10686 6688698.96629,357164.69822 6688703.88889,357148.23479 6688737.60112,357133.02405 6688770.28459,357129.38238 6688777.89269,357126.76033 6688781.87073,357121.16009 6688788.37864)"
119864,"LINESTRING(356265.06577 6687390.35806,356261.80096 6687376.72747,356254.40549 6687352.99863)"
119865,"LINESTRING(356254.40549 6687352.99863,356249.47821 6687343.94762,356227.49145 6687304.01404,356203.66687 6687264.69820,356189.83870 6687242.78638,356174.77660 6687221.83576,356144.90870 6687182.54561,356134.03204 6687167.77371)"
119870,"LINESTRING(354099.26557 6687312.16721,354083.30775 6687311.87932,354047.35194 6687310.81464,354040.20027 6687310.55048)"
119871,"LINESTRING(354040.20027 6687310.55048,354047.35194 6687310.81464,354083.30775 6687311.87932,354099.26557 6687312.16721)"
119873,"LINESTRING(354108.50544 6687218.78251,354112.58102 6687177.61257,354113.90144 6687173.30804,354114.92597 6687168.60899)"
119875,"LINESTRING(354099.26557 6687312.16721,354099.53205 6687308.91401,354108.50544 6687218.78251)"
122611,"LINESTRING(356790.64908 6689087.12444,356789.34604 6689086.87674,356788.07312 6689086.49379,356786.85172 6689085.95211,356785.69886 6689085.28410,356784.63658 6689084.47737,356783.66679 6689083.56518,356782.81215 6689082.54623,356782.08087 6689081.43118,356781.48241 6689080.25286,356781.01613 6689079.00018,356780.69906 6689077.70553,356780.53183 6689076.38002,356780.52393 6689075.05646,356780.65959 6689073.72465)"
122614,"LINESTRING(355954.27430 6688239.37886,355958.46311 6688226.94307)"
122615,"LINESTRING(355635.30344 6688111.86842,355632.68154 6688111.89733,355630.09887 6688111.42330)"
123310,"LINESTRING(357113.95607 6688197.10839,357115.44599 6688194.00762,357118.76284 6688186.94114,357121.94092 6688180.49456,357125.49443 6688173.19196,357135.40217 6688152.82946,357153.84045 6688114.92063,357157.94057 6688106.44068)"
123311,"LINESTRING(357157.94057 6688106.44068,357153.84045 6688114.92063,357135.40217 6688152.82946,357125.49443 6688173.19196,357121.94092 6688180.49456,357118.76284 6688186.94114,357115.44599 6688194.00762,357113.95607 6688197.10839)"
123418,"LINESTRING(357601.98325 6688534.04186,357615.87861 6688485.51394,357617.26880 6688480.67224)"
123447,"LINESTRING(357753.15983 6688624.66868,357767.47767 6688608.87187)"
123448,"LINESTRING(357767.47767 6688608.87187,357753.15983 6688624.66868)"
123449,"LINESTRING(357767.47767 6688608.87187,357771.76329 6688603.61937,357784.25900 6688588.30540)"
123450,"LINESTRING(357784.25900 6688588.30540,357771.76329 6688603.61937,357767.47767 6688608.87187)"
123451,"LINESTRING(357601.98325 6688534.04186,357611.13427 6688536.15364)"
123452,"LINESTRING(357611.13427 6688536.15364,357601.98325 6688534.04186)"
123453,"LINESTRING(357611.13427 6688536.15364,357616.22670 6688537.56372,357666.81831 6688551.55033,357671.88031 6688553.75215,357678.55224 6688560.75706,357683.72233 6688568.01502)"
